,Time,User,Tweet
0,2022-05-23 11:35:06+00:00,TOIWorld,Pfizer Covid vaccine for under-fives effective with three doses https://t.co/WIjgfgFzih
1,2022-05-23 11:34:42+00:00,ValaAfshar,RT @ValaAfshar: The future of real-time adaptive digital advertising based on geography and viewer demography https://t.co/33Aq21Lg7I
2,2022-05-23 11:34:37+00:00,TimesNow,"#PFIHateTape

'Islamist radicals' cross line; child used for 'hate slogan' at SDPI rally

Vivek gets us more detail… https://t.co/3Jj3JQdl5J"
3,2022-05-23 11:34:16+00:00,TimesNow,"#PMModiInJapan

#WATCH | PM Narendra Modi greeted Indian Diaspora in Japan.

#PMModi #Japan https://t.co/dcJkp6FM82"
4,2022-05-23 11:33:54+00:00,nytimes,Breaking News: Pfizer and BioNTech said preliminary findings showed that three doses of their vaccine produced a st… https://t.co/xGOt0aviMz
5,2022-05-23 11:33:31+00:00,CNBCTV18News,#CNBCTV18Exclusive | #Davos2022 | Risk of a global #recession lower than risk of individual countries going into re… https://t.co/NG8LQlRrfL
6,2022-05-23 11:33:20+00:00,timesofindia,North East Delhi violence case: Delhi High Court adjourned the hearing in the bail petition of Umar Khalid till 24 May.  (ANI)
7,2022-05-23 11:33:00+00:00,moneycontrolcom,"#MCOpinion: Given the lack of domestic sources, Indian banking should have been more open to foreign banks in India… https://t.co/BGcmLk8Q0q"
8,2022-05-23 11:32:37+00:00,TimesNow,"#PFIHateTape

Fresh video emerges of the same kid who allegedly raised 'hate speech' during a #PFI rally in #Kerala… https://t.co/pVGP0DOz0T"
9,2022-05-23 11:32:33+00:00,firstpost,"RT @FirstpostSports: Disappointed with last few games, taking confidence from earlier knocks ahead of playoffs, says Jos Buttler #IPL2022…"
10,2022-05-23 11:32:12+00:00,TimesNow,"#PFIHateTape

Fresh video emerges of the same kid who allegedly raised 'hate speech' during a #PFI rally in #Kerala… https://t.co/O8lfzFErot"
11,2022-05-23 11:31:56+00:00,CNBCTV18Live,#CNBCTV18AtDavos | @GitaGopinath #IMF to @ShereenBhan at #Davos2022: Volatility is what we'll have to live with thi… https://t.co/rA5WWIuxnZ
12,2022-05-23 11:31:20+00:00,TimesNow,"#MadrassaVsModernity

Himanta Biswa Sarma said as long as the word ""madrassa"" exists, children will not be able to… https://t.co/QFaDv2Bs3y"
13,2022-05-23 11:31:05+00:00,NDTVProfit,Terra Luna Recovers By 60% After Collapse https://t.co/W1D9SBigv3 https://t.co/o6rtnmaBIs
14,2022-05-23 11:30:30+00:00,bsindia,"#US would intervene militarily if #China were to invade #Taiwan, saying the burden to protect Taiwan is ""even stron… https://t.co/B7eaR7w5TH"
15,2022-05-23 11:30:13+00:00,nytimes,"Weeks before the Trump administration ended, Jared Kushner and Steven Mnuchin met with future investors on trips to… https://t.co/nHzAzqo3g2"
16,2022-05-23 11:30:12+00:00,TimesNow,"#PMModiInJapan

""Humare sapno ka Bharat hum dekh ke rahenge"", says PM  @narendramodi while addressing the Indian di… https://t.co/jCiXOTFwaW"
17,2022-05-23 11:30:08+00:00,WSJ,The average age of vehicles on U.S. roadways is now a record 12.2 years old; drivers have struggled to find afforda… https://t.co/OWzodjfNFE
18,2022-05-23 11:30:03+00:00,TheEconomist,"Apart from electric bicycles and scooters, which are hard to measure, Britons have cut back on all kinds of powered… https://t.co/hDDMX29p8L"
19,2022-05-23 11:30:00+00:00,EconomicTimes,#SpiceJet will induct more Boeing 737 Max aircraft over the next few months and it hopes to start broadband… https://t.co/44CHcowmDs
